EMA10,EMA20,RSI,MACD,BB_H,BB_L,STOCH,Target,Date
679.4675923128401,671.4169575464778,64.56477809602592,8.602970637234534,713.4607829695854,631.6231342667427,89.01200363653437,1,2020-06-03
687.0466491259884,676.1536668073043,68.98688620850889,11.47401943345983,721.1950188482454,629.9494635736296,95.06359956153348,1,2020-06-04
693.4053771613201,680.5218559990194,69.19306905365606,13.661840801586663,727.4968047184864,627.7058258967479,83.86666193754353,0,2020-06-05
697.5954106817051,683.9436374775354,66.15166968870008,14.775997333541227,729.3594229540989,626.8641366162136,78.3051957757324,0,2020-06-08
698.3386723049177,685.6331338710439,58.77436657032088,14.302513354508733,727.4685163920387,627.6209611470238,63.95295605956302,1,2020-06-09
701.8516915804441,688.6833381043076,63.51513782931584,15.043071349535012,732.6657914700914,627.2984785494399,77.5920508473717,0,2020-06-10
701.8667382462156,689.9453485936294,56.61414492390701,14.197367420892988,734.4628985336623,627.3843670913378,60.90118205274347,1,2020-06-11
706.1201935082673,693.3087194120933,63.03058022275384,15.233772493282117,739.9237789666322,628.9008365118834,85.6589283702315,1,2020-06-12
711.7374670074744,697.4712411589326,65.77722407589687,16.809843891553555,747.2694050991655,628.6375529086471,94.23122047302773,1,2020-06-15
716.5948593697517,701.3742777152247,66.10893820338595,17.967798939556474,753.4727802734647,630.5116557616916,84.54024856809724,0,2020-06-16
720.3740433195696,704.8034294655604,65.59809474617512,18.58469162635879,756.9184042579211,636.4901345604383,83.05257600134529,1,2020-06-17
726.8316258197046,709.6688882850606,69.91765172665131,20.332831938919867,763.9574346380568,639.5941583795213,95.18646318297309,1,2020-06-18
740.7052901770595,718.5705922374507,77.63621950832801,25.239658646082944,782.0136440282355,636.0609714502801,89.92463482595,0,2020-06-19
750.9567719523952,726.0484824949702,74.98376612952934,28.313918458791022,794.0159737622519,638.4196158373575,81.10354103600994,0,2020-06-22
757.2486670199994,731.7164550977558,70.0706622026063,29.480388291777558,800.1628499125216,645.823453798416,72.88411420324624,1,2020-06-23
762.973407781988,737.1467680609159,70.64087456524022,30.31141094058762,805.9646581248269,652.9081690236105,75.14647394261178,0,2020-06-24
766.8314587285868,741.6273318635222,68.62505729116862,30.254738844935332,810.3559353377493,659.730404994282,71.90751157849617,1,2020-06-25
771.9592261756618,746.7136983229486,70.76921662857231,30.73040262241102,814.4829872316508,668.2593467527241,79.63863709888484,0,2020-06-26
774.6192385861948,750.51137414301,66.93215882447814,30.07920359451009,818.2497583580636,673.7500646399834,73.61654440956116,0,2020-06-29
775.2145132999265,753.1191717971727,63.13600537710332,28.532520389771435,820.2691495356811,679.4178560795532,67.4153484222231,1,2020-06-30
778.4819628526387,756.9350112298081,66.71150693461075,28.215468122891934,823.8163809047084,684.8154123081823,78.32032366181136,1,2020-07-01
783.6380632679259,761.6879163637996,69.551437309959,28.734811639783857,829.9354019524451,687.2652022956017,84.90890441006289,1,2020-07-02
790.1525449287291,767.1907540817562,71.9357641677537,29.82154025523596,837.4123749364636,689.5330352197865,95.87731665948557,1,2020-07-03
800.8076708152669,774.9588477220353,76.52705124022313,32.66948585493378,849.4885363061243,690.6873914282506,97.63715837585613,0,2020-07-06
807.1629633552467,780.7496031566183,70.97892084164832,33.491925416045774,854.5829672449173,699.0008035070358,84.58099346417356,0,2020-07-07
810.2418874540086,784.8779310367916,66.32992394716689,32.82409244970245,857.5220178294043,706.7054296803614,68.26665342324914,1,2020-07-08
814.9485293657797,789.7589297922161,68.6134131387874,32.88656533410574,858.1350720121918,719.51177247023,77.17329641285426,1,2020-07-09
823.2828277374845,796.5235241367818,72.69997873673586,34.52781561967208,865.2283585853565,725.9711287193309,96.65682773380232,1,2020-07-10
834.8477153256974,805.1298275021032,76.22832008944053,37.50246992110249,877.9524172213378,728.2345212552248,95.09696045143768,0,2020-07-13
842.8098738850877,812.1307570164118,73.01621865742504,38.74753155996348,885.6878968698305,734.5176878469664,88.14775325711042,0,2020-07-14
843.240926644617,815.2783672112774,61.667087604932384,36.612351989967124,884.6685274447316,746.3170865689403,53.53676100879723,0,2020-07-15
843.5436128335219,818.1000180181646,61.58237514651787,34.5003213223938,884.5081442981123,755.3789650768877,53.3299824001932,1,2020-07-16
849.4830265335349,823.6343389863007,67.12023272360696,34.9496704139259,892.0945816469406,755.0998885679031,76.87180731441559,1,2020-07-17
855.0258853456194,828.9995209876054,67.72181396978075,35.20325004177505,899.2828561208997,756.1996450998034,78.78794348472476,1,2020-07-20
863.8651841570693,836.108331256271,71.28558677307981,36.889213586310575,909.6396100213087,757.650874597832,97.0255968860809,1,2020-07-21
873.8015613628862,843.9566100689178,73.2815122700617,38.97620378532815,921.644435739146,758.624100637807,97.5206774591475,1,2020-07-22
886.4147229687819,853.4058805571459,76.23135111878956,42.13421190203337,936.9016859974138,759.2649766002426,92.53708327237568,1,2020-07-23
904.0971978764464,865.8118285956023,80.11411367526175,47.358594118339056,960.6978275123234,754.3322506126766,95.52755239232032,1,2020-07-24
919.4021906631152,877.4749552248901,80.50425368609244,51.27952797529622,980.086823545096,755.1117909568572,89.67396828105501,1,2020-07-27
933.716172243543,888.9658251420881,81.34735134132009,54.553211083637166,996.7913535783463,760.4308449079819,94.88551184191601,0,2020-07-28
938.6733170628988,895.824362628556,69.19861195936487,53.53295078023564,1003.544644763057,770.4570520142868,74.51345984003522,1,2020-07-29
943.7458531650989,902.5622581520267,69.92666458898988,52.56960868890701,1010.3499100327074,779.6249617934645,77.5573936899452,0,2020-07-30
